text,stars
"I'll be back! 

Laura certainly doesn't need my review for help, but all of these people are correct.  She is meticulous, easy to be around and takes joy in her work.  When I read all of the 5 star reviews, I sort of thought they might be written by friends because they were so gushy.  I found her via Yelp.... and loved her! 

$20 eyebrow wax, takes credit cards.",5
Honey Bear's is no Joe's BBQ in Gilbert but I actually enjoy it. I usually get the pork sandwich and potato salad and I find myself going here. I like the BBQ sauce and the quality of the meat is good. If I'm in Tempe and want BBQ I usually go here.,3
"I'm giving this Office Max five stars for convenience, friendly service, competitively priced products a stocked shelves. 

This Office Max is a great in and out shop. On one side there is the detailed supply store and on the office side, there is a complete copy center. It's open until 9 on the weekdays and they don't make you feel rushed if you get there at oh let's say...8:50. In fact, they are helpful! They walked me around and helped me find the random items I needed. The copy center staff was also very friendly. 

This Office Max has your complete supply of office items but their prices are very reasonable! I purchased the same item at another shop that I did here and it was significantly less expensive here. 

So on that note, I end my review on Office Max but I will report back with any new findings.",5
"Jack in the Box, this one in particular, is busiest from 10pm-2am. It definitely a ""better when your drunk"" kind of place, or at least I think it is from the number of drunk patrons I see eating there. 

The food? Well, it's JitB, what do you expect? You got the 99 cent for 2 tacos deal, which is a must add for any meal. You also have breakfast served all day. This means you can get a Extreme Sausage Sandwhich, 2 Tacos, and a Chicken Fajita Pita in the same meal. That's some good eatin'. Please note that nothing about the Chicken Fajita Pita is remotely close to an actual fajita. 

This location specializes in making your food NOT look like it does in the picture. The picture may show a big fluffy bun with a juicy burger, however your burger will probably look like someone stepped on it then ran it over with their car. It doesn't change the taste, tho. Still tastes exactly like you would expect something to taste from JitB. I mean, it's good food and a good value. By ""good"" food, I of course mean greasy and unhealthy. That is the definition of good food though, right?",3
"And then it all changed...

I think this is my very first review that has been demoted to 1 star after being on the coveted 5 star for a long time. 

So, where do I start. After feeling dog sick for a few days, I finally decided to ""walk-in"" to this place because that's what they do now supposedly. They take walk in patients who are seen by the NP. I signed in at 8:20 and was not called in the back until 10:00am. Then I waited another 35 minutes for the NP to come in and see me. By the time everything was over, it was 11:00am before I walked out of this place. 

I asked to talk to Brenda, the office manager and was brushed off twice. Supposedly she is going to call me but would not see me when i was there for two and a half hours! I guess she didn't have the balls to face me at that point. What could she have said really? 

The front desk lady did a screw up and let another walk in patient go before me even though he came 10 minutes after I had already signed in. When I pointed that out, she said he came before me and I had to show her the sign in chart. Instead of apologizing, she just kept doing what she was busy doing without acknowledging her mistake. 

When the NP did come see me, she missed a couple of key things in my chart that she totally should have asked me about. I was quite appalled. I had to point out a deathly allergy that I have even though it should already be in my chart. 

My final analysis: In my opinion, don't go here if your health and time are valuable to you.",1
"After repeat visits it just gets worse - the service, that is.  It was as if we were held hostage and could not leave for a full 25 minutes because that's how long it took to receive hour check after several requests to several different employees.  Female servers might be somewhat cute but know absolutely nothing about beer and this is a brewpub.  I asked if they have an seasonal beers and the reply was no, that they only sell their own beers!  Even more amusing is their ""industrial pale ale"" is an IPA but it is not bitter.  So, they say it's an IPA but it's not bitter, it's not a true-to-style IPA.  Then people say ""Oh I don't like IPA's"" and want something else.  Their attempt to rename a beer/style is actually hurting them.  Amazing.

The menu was not the regular menu, just a small list of about 4-5 choices.  To make it worse, the actual menu on every table was wrong, yet the kept the menus on the tables anyway.  I heard 3 separate tables order the fried raviolis but they did not have them.  

This place is *only* in business because of the location, location, location.",1
"I should have taken my own advice and stayed far away from this place. Our most recent visit ended hastily when I was served rotten tuna and got barely a ""sorry"" from the staff. I could smell that the fish had gone horribly, horribly off when the ahi tuna salad was put before me by the waiter, and I'm shocked that the kitchen actually thought they'd get away with sending it out. The waiter disappeared so quickly from my table that I had to go hunt him down to point out the bad smell at my table was coming from the food, and he took my plate back to the kitchen and five minutes later came back to say, ""okay, we all smelled it and there's definitely something wrong there.""

Seriously? You had to go pass it around to confirm that I'm not crazy when you can clearly tell within ten seconds that this is not how raw fish should smell? After all this, their solution was to comp an appetizer, not the salad, and eventually gave me a new salad to go, which I decided not to eat just to be on the safe side. 

Look, I'm not scared to eat week old leftovers or sushi at a divey joint and I don't really get freaked out by the cleanliness of restaurants, but this could have been dangerous.  I have absolutely warned off all my coworkers and friends against this place, and now I'm warning all of Yelp. It could have been handled in a way that left me confident that it was just another new restaurant kink, but the awful service made it clear that's not the case and I shudder to think of what new low they'll sink to.",1
"Place is OK, I'm just not a big fan of what they have to offer! It's funny reading some of the complaints! People get a grip! Food is good, place is a cafe style, so your service is really up to you! Cookies are really good, my wife enjoys their sandwiches.",3
"Only reason for the 2 stars is for the service. 
The food was not very good at all. My dinner was hardshell taco's or something that consist of hardshell taco's but when they came out the shells were soggy and you couldn't eat them. 
The drink specials were good and we had a very nice server.",2
"This is one of my favorite go-to places in Phoenix, and I feel fortunate to live just a mile away. 

The atmosphere is excellent - low-lighting, wooden floors, modern decor in a vintage-looking house-turned-restaurant. 

The food is even better. I have never ordered anything I didn't love (with the exception of the cheesecake, which isn't made in-house - it was just okay). I crave their tuna salad on a regular basis - it's good both in the tuna salad salad and in the tuna salad sandwich.  The grilled cheese is the bomb, and so is the cashew butter banana sandwich. The mac and cheese is superb, as well. Seriously, everything rocks. I highly recommend ordering the mixed greens as your side if you get a sandwich - the dressing is light and citrusy and smacks of homemade excellence. 

Oh, and it won't empty your wallet, either. The prices are excellent for the quality of food you get!",5
"It is what it is. No frills. Fine front desk staff and general cleanliness. I felt safe and the bed was comfortable. I'll tell ya - my favorite thing about this place is the bar Baer's Den at the end of the parking lot! 

The breakfast should not be $10, it should be included! I did however have a fantastic breakfast sandwich at the Safeway right down the street!",3
"The name sounds like it's straight out of a book filled with a happy storyline, friendly characters and sunny days. And Chestnut Lane, the eatery, lives up to expectations. For the ultimate lady who lunches, this should be # 1 in her book. 

I discovered this lunch spot awhile back and immediately made my way there to check it out. From day one, I was hooked and have visited several times. Chestnut Lane is small, quaint and every bit as charming as the house they call home. When I first walked in, I saw gorgeous fresh salads to the left, begging me to take them home. Fresh pastries, cookies and cupcakes lined the counter top and refreshing water made their home in reusable milk-type jars in the refrigerator. The owner runs the shop and takes great care of the environment and the food they serve. From ladies who lunch, to professionals on the go...this spot is normally packed during lunch hour, so get there early. 

My favorite dishes include: the lobster salad (worth every penny), the tuna meld, chopped salad and honey roasted chicken blt. It's hard to escape without a bag of their delicious cookies or a mini cupcake. If it's mini, that means zero calories right? :) For those looking for a healthier option, their fresh fruit is full of amazing berries, etc. 

Hours: Better hurry and make it during store hours! Chestnut Lane is only open Tuesday-Friday from 8-3 and Saturday from 8-1.",4
"I cannot stand this mall. They have some really awesome stores but the people who work in them are obnoxious. Most of the people walking around are snooty as can be, and everything is overpriced.

The food court has some good selection, but is always super crowded and you can rarely find anywhere to sit.

Parking is awful.",2
"This is by far my hubby's favorite lake for bass fishing.  I am not a fan of waking up at 4am in the morning to get there by 5am...not for fishing.  Yes, that is all my boys do here. It gets really packed on the weekends by 9am.   When the water is low, it is not easily accesible from the picnic spots.  It also gets super windy, enough to go windsurfing (too bad it's a long treck for us).   You really have to have a boat to enjoy this lake.  The absence of shade trees make the heat uncomfortable in the middle of summer, you might as well go to Canyon or Saguaro (my faves).

I love the sharp edged cliffs juxtaposed against the crystal clear water.  Good photo ops.

Why the 4 stars?  Like I said, my hubby loves fishing here for the bass.  For some reason, little bluegills like me.  I also like the floating porta-john and porta-jane...weird, but cool!  Whoever does the draining has a crappy job.

All in all, it is a nice big lake and by far one of the cleanest too.",4
"The customer service at this Macy's was seriously out of this world. Both my mom and I (who were visiting from out of town; me, San Diego and her, Baltimore) have never ever experienced such friendly and helpful customer service at any department store, anywhere, EVER! We were there late at night- probably for the 2 hours right before closing on a one day sale day. In every single dept. We went (ladies dresses, ladies shoes, men's etc) EVERYONE was soooo nice and helpful. Most of our visit was in ladies dresses. Those reps did everything possible to help us find dresses in different sizes (which can definitely be challenging at the end of a season and at the end of a one day sale when things are haphazardly placed everywhere) and to call other Macy's stores when we were unsuccessful in finding a dress at that location in a particular size. Sure, they wanted a sale, but to be so helpful so late at night, right before closing, after a long one day sale was shocking. We must have encountered at least 10 different sales associates while wondering through the store and each and every one was soooo nice and helpful. The selection (at least in women's) was better than most other Macy's I've been to, to boot. 

I wish this was my local Macy's! Go here- hopefully your experience is just as good as mine :)",5
"5 Stars for the delicious food & flavors. 

No stars for the tired, drab & dusty interior. Very disappointed. Needs a complete interior update overhaul and face lift. 

The food is great quality, but their portions are monumental, and rather unappetizing with the amount of food on the plate--although this could be appealing to others of a unsophisticated palette. 

Quite disappointed, but gracious that the quality of meat was outstanding.",2
"I have some issues with this place, but you can't avoid BRU when you are having a baby. It's got convenience, selection, and price going for it. 

We set up a baby registry here mainly out of convenience. It was fine, but I started noticing that they'd randomly discontinue items from the registry and about a week or two later put them back on. 

They aren't always the cheapest, but when you are strapped for time, trolling the Internet for deals isn't going to happen, and this is where BRU scores. They know they can get you when you are harried and need whatever.

The bathrooms are grody here. After being pregnant, I've seen a lot of bathrooms. It seems like a store catering to pregnant women, new moms, etc. would have nicer bathrooms because the likelihood is that we'll use them 9 times in a hour trip. 

Staff is generally friendly, and the store is well organized.  Selection in store is good.",3
"I am writing this update soley based on the feeling one gets when going to Spitfire Grill, the food and drinks are always good.

Our complaint about Spitfire is that the owner and staff is never very welcoming. My fiancee and I have been there 15+ times and there is never any recognition by the staff. The owner is always there and he has never introduced himself or thanked us for coming in again.  The servers have never said 'welcome back or good to see you again'. For a neighborhood restaurant I would think you would want to make your regular customers feel appreciated. We love the food and the restaurant is right around the corner from our house, but we lean toward other, farther away restaurants with a more weloming feel.
For example, last night we went to House of Tricks in Tempe. It was our 4th visit. When we walked in three of the employees greeted us and welcomed us back. The bartenders remembered what we drink and asked us about something we discussed last time we were there.
Talk about feeling welcome! Spitfire has a lot to learn if they want to survive in a neighborhood lacation.",3
"please please please do not stay here! 
i never do these reviews but i feel obligated to save someone the time and money and self respect by writing this review! the customer service is soooo soooo poor!! after having almost 500.00 held on my charge card after i checked out, i called to find out why this charge was on my account.  i was hung up on and after calling back was repeatedly hung up on and refused to provide his name to me or his managers name! i told him i work at a four star hotel and casino in las vegas (which i do). he called me a liar! .. and as of right now still out 500.00! what establishment hangs up on their guests? this guy should sit through some of the forbes training i have received! what if i was a shopper? 
do not stay here! save your money! they only received one star because you have to provide a rating.  
aside from the horrible customer service, they stuck me with a 50 penalty fee when i had to change locations. that wasnt great, but whatever, the pictures do not resemble the motel. the ""game room"" is not a game room.  its a room with an atari in it.  the pool was small and dirty and if you like noise all night while you are trying to sleep, you can count on it here.  all these things, i could get over. however, the customer service the man (i cant even say gentleman) on the phone was horrible and penalty should follow. he is an embarrassment to all of us who work in guest services. 
do not stay here! you would have a better stay in a box outside on a corner.
i should have known better for such an inexpensive place, but i was hoping if we cut back on the hotel we could spend extra money with the kids doing activities and going places... wrong! you get what you pay for... and worse!",1
"Food is yummy!!!! I have never been to a 5 Guys, so I was pleasantly surprised. I ordered a burger, unaware that it is actually a double burger, which was HUGE! Hubby and I shared a large fry. We could have easily split a burger and a small fry. Love that fact that ""everything"" includes grilled mushrooms and onions. So much food. This location was messy. I am not sure of the peanuts are a great idea because there are shells and dust everywhere.",4
"I've eaten breakfast here a few times and always thought the food and service were good. I think the prices are reasonable. My only complaint is the place is too small. there have been many times the hubby and I go there and there is simply nowhere to sit, so we end up leaving. I wish they would expand the dining area as I would love to eat here more. I hate chain restaurants, but when this place is too crowded I end up at a crappy chain.",3
"Even though I am officially in my 30s, I look like I'm still in college, which made me feel slightly less uncomfortable when I walked into The Clubhouse. Yes, it is near ASU, and yes, it is an all-age venue, so I should have expected that the club would be filled with 18-20 somethings. But just because I look 21, doesn't mean that my internal reality made me feel a little out-of-place. But, I was like, whateva!

It is somewhat of a dive bar trying to be a club but failing miserably. Like a nerd trying to be punk or a cheerleader trying to be emo -- it somehow didn't work for me. It felt like I was in someone's basement turned rocker's haven. Black walls, haphazard decor, and one sole stinky quasi-couch that looked like it had been salvaged from some dump. 

The stage was at the front of the club, and the bar in the middle dissected the under-21 crowd from the over-21 boozers. Unfortunately, if you wanted to drink, you had to stay on the over-21 side of the bar. That sucked because you barely had a view of the stage. WTF?!  Shouldn't the paying lushes get a better view than the youngsters who only paid to get in the club? Stupid. I have to say, though, the sound system was a helluva lot better than some of the other small music venues I've been to.  That's a plus.  

Finally, this last annoyance will definitely show my age, but having to stand the entire time I was there was horrible. My feet hurt, dammit! And, I just wanted to sit down! But, I'll suck it up the next time because there are some great bands that play here, and for me, great music can make any situation better.",3
"10:30pm on a Saturday night.  My friend and I try our second attempt at sushi for the night (see my review of Pearl for the first).  Place is hopping.  We take a seat at the sushi bar.

The Waitress:  ""Are you girls going to be ordering sushi?""
Me: I have a sushi menu in my hand, ""yes.""
Waitress:  ""Would you mind putting it in soon because they want to go home too.""
Me: What the fuck, bitch. ""Uh, ok""

Dear Ra Waitress,

I'm sorry if I kept you or any other employess, especially since I finished eating my roll before your kitchen even closed.  It was completely ok to rush me, even though I had no intention of staying all fucking night and even though plenty of new sushi orders came after mine.  I was hardly the last customer in there.  There were people all around me ordering sushi, so I'm still unclear as to why you needed to rush me.  If you were in such a hurry- why did it take you longer to bring and process my bill than it did for me to eat your food?  Maybe it was because you don't know how to count, since you gave the wrong amount of change and I ended up having to tell you the correct amount since you couldn't count it on the spot.  I like Ra for the atmosphere, something you completely ruined.  Thanks for that.   

Sincerely,
Morgan",1
"I've heard when better waitresses are there, service is better, but if you go on the night she isn't there, service sucks.",2
"Good = Happy hour is a great deal but it's always PACKED. The open atmosphere is awesome in the spring/fall but there's not much seating so you'll likely end up waiting.

Bad = Parking.  There's never enough and it's a tight parking lot.  Prices.  It's expensive.  If I want to sit outside with friends and enjoy a bottle of wine and nibble on some fancy cheeses, I might as well do it at my house for 1/4 of the price.  Then I can drink as much as I want without the overcrowding and $$$$.",2
"Lives up to the local fuss. Quick, cheap, tasty and one of the few fast Mexican food restaurants that utilize yellow cheese, which is my cardinal rule of good Mexican food.",5
"Top notch cheesesteak. One of the best in the valley. This place has a large delivery area, and is located right by campus. The owners are really nice and friendly. I'm really glad something moved into this spot. It's so convenient. 

Their desserts are great as well. I wish they had some chicken options, but they are new and said they would be adding to the menu as time goes on. My girlfriend said the turkey sandwich was fantastic. They sometimes carry Tasty Kake, so ask about that. 

I've had the authentic cheesesteaks from Philly, and this tastes every bit as good if not better. It's definitely in my top 5 local cheesesteaks.

Edit: Just ordered delivery - Lightning fast! This place is incredibly legit. I went with a cheesesteak with White American cheese instead of ""wiz"" this time - So incredibly good. They tossed in a new dessert they didn't have last time which was awesome. 

Their prices are really good and their food is so delicious. I'm a huge fan. I'm not kidding with this 5 star rating - I love this place. Rave rave rave...",5
"So I'm not a big Chinese food fan, but my husband is. Truth be told, it usually makes me sick. But if I were to go to Chinese food, Dragon Palace would be one of the places that I would go. The food is decent and there's a lot of it. I really felt I was getting my value's worth.

The waitstaff was attentive (always there asking if I wanted a refill) and the food came out quickly. It looks like every other Chinese food restaurant in the world (lots of red and gold, lanterns, paper Chinese Horoscope place mat -- save for the deep teal walls).  I'm not sure I would make a long drive to Dragon Palace because chances are you have a comparable Chinese food restaurant nearby, but if you live in the 32nd St. and T-Bird vicinity, this is certainly a Chinese food place worth trying. 

As for the food, we ordered the Peking dinner for 2 which came with won ton soup, a pu pu platter (consisting of won tons - yum -, eggroll, a small fried shrimp, a skewer of glazed beef and honey chicken), Peking fried rice (fried rice with shrimp, chicken, pork and beef), Mongolian beef and the house chicken. (as an aside and a disclaimer, I am preggers right now and I have developed a severe dislike for chicken which means I, of course, hated the chicken dishes). My husband thought it all was ok. I really liked the won ton soup and the Peking fried rice. After dinner, we got the requisite fortune cookie (""Express yourself now."" WHAT?) and a really yummy banana wrapped in a won ton and fried with a sugar glaze thing.

All in all, it was a good time at a pretty good Chinese Food Restaurant.",3
"Well thought-through details make Lux amazeballs. 

The espresso is good. Really good. Like, I need to order an espresso along with whatever else I'm ordering just because it is so delicious. 

The food is beautifully presented (little light on the gluten free snacks, but there's fruit, so no one is starving). 

There's plugs all over.

The furniture is mostly easy to wipe down.

The bathroom door has written out instructions so no one is confused on when the door is locked. It also has nice smelling soap. 

The patio is really pretty.

The clientele seems ridiculously cool. I kind of feel like maybe I'm going to be cooler by association if I hang out here. I'M GIVING IT A GO. Let me know how I'm doing.",5
"Horrible! I had a gel manicure. The tech didn't let my old gel soak off long enough so she scraped, clipped and filed so hard to get it off that it left my natural nail extremely thin and flimsy. The new polish that was put on was thick in some areas and thinner in others. I didn't realize it until I got home. I grabbed my purse and almost broke my naturally long nails because they were so frail. I get the gel manicure because it has a thicker finish and makes my nails firmer. I called and told them about what happened. The gentleman who answered the phone told me that I was wrong and that they would not refund my money. I will never go back and I am sure sorry I ever did in the first place.",1
"Beautiful ,wonderful and very romantic ambient setting sets the tone for a romantic dinner with the one you love .

We first experienced El Chorro back in early April ,and were so enchanted with our patio dining experience ..beautiful view of Camelback MTN. lovely flora and landscaping ,and their adorable organic garden area. That we have returned a few times ,and every visit has been wonderful -impeccable service and delicious fare.

Dinner High-lights ;

Niman Ranch Steak ,twice baked potato ,asparagus.
Free Range Chicken, mashed and peas
Chopped salad and the Chicken Cobb salad both fresh and delicious.
Veggie pasta with shrimp .

Drink High- lights ;

Honey pot ( jack daniels lemonade drink)
Mojito ( strawberry and Jalapeno) sooo good!

The sticky buns are just sick !! we always take an order home .

Fabulous ! every time.",5
"I wasn't feeling RnR at all!  We don't usually venture into Scottsdale for many reasons, but the siren song of a non-pretentious late night eatery was just calling to us.  Unfortunately, non-pretentious doesn't apply to the prices.  We came shortly after opening day, so I completely forgive the awful service, the place was packed.  I was irritated though when we were told they were only going to be serving sandwiches and burgers, nothing else, even though we were specifically told that this place would have breakfast all day.  Breakfast is what I wanted.  Oh well.  

We ordered the burger and got some mini corn dogs as an appetizer.  The mini corn dogs left a lot to be desired.  They were served with plain ol' ketchup and plain ol' yellow mustard.  Yuck.  The corn dogs were only okay.  The breading around them was way too bread like and it was just lacking in flavor.  The burger was enormous.  Unfortunately, what it lacked any flavor.  I guess what it lacked in flavor it was clearly making up for in size.  The bacon that came on it was equally huge, roughly 2 inches wide and at least 8 inches long... (that's what she said! Ohhhh!)  Anyway, I was obviously not impressed.  We might come back sometime, because their breakfast really does sound wonderful, but hopefully they've figured out how to efficiently serve a busy restaurant by then.",2
"Let's talk about failure, baby.

Hey, if your idea of salad is punishment via tasteless lettuce and mealy tomatoes splashed with the most generic, industrial vinaigrette, you've found just the right place to BDSM your tongue. Go for it!

I ordered Capellini Checca, and I had it substituted with Spaghetti (I like more girth re: pasta).  What I got was the limpest pile of spaghetti that couldn't be revived with a lifetime supply of Viagra.  The DOA pasta was topped with a pathetic sprinkling of more mealy tomatoes (the menu says Fresh Roma Tomatoes- these had the texture and taste of a dying horse's ass moreso than fresh produce).  The faint, acrid garlic tasted like it came out of a shaker bottle and not a bulb- and motherf*&k, respectable Checca should have more than 1/16 teaspoon of microscopically chopped basil.  

This place makes Old Spaghetti Factory look like fine dining, and I would rather starve than be even close to that chain restaurant of culinary doom.  Hell, this place is the  disowned, cracked-out junkie brother of OSF. It's really *that* terrible.

I gave them the single star only because the management was incredibly lovely, and did not charge for the unforgivable disaster masquerading as edible food worth paying for.",1
"I really don't consider myself a Neiman's type of girl...
As a matter of fact, I don't really feel comfortable in Neiman's - it's extremely 'fancy' and high end for me.  But, I've gone in a handful of times and even bought a dress or two on sale at Neiman's in the past.  I admit, the quality associated with the designer labels at this store is pretty amazing.

Anyways, I felt some major pressure to register at Neiman's from my mom, so I met my mother-in-law-to-be at this Neiman's location on Sunday.  The housewares / registry department is extremely small... and although the woman working was sweet, she botched the spelling of Jared's name in the process.  Needless to say, i was not so impressed.

Fancy sums this department store up in my eyes - I'm much more of a Nordstrom's or Macy's or Bloomingdales type of girl!",4
"I was disappointed too.  I waited an hour and then took at seat at the counter which is ok with me, but if you've got long legs your only option is to sit spread-eagled in order to get close enough to your plate and there's not that much legroom to each side.  In the small space in front of the counter the staff was in perpetual motion squeezing past each other to get drinks, etc.   My cheddar, jalepeno, sausage omelette was very good, but not huge, and the hash browns were crisp and tasty on the outside but soggy on the inside.  The whole wheat toast was great, but no choice of toppings...I was given a small dollop of peach preserves. 
The waffles next to me looked fabulous, but I'm not a fan.   Basically I didn't think it wasn't worth the hour wait in 100 degrees and I was relieved to get outside where there was some breathing room.",3
"""The office space, layout, presentation gets 5 stars, the customer service you receive from the employees at Corporate Office Center is a negative 10. They will scare your clients off, scare your own staff and make your life a living hell. Their office locations and space is beautiful but if a say, a client shows up at a time other than their scheduled time, they will be told to leave. They will be told you don't provide any services at the locations and if anyone could single handedly ruining your professional image, Corporate Office Centers can do this for you! BE AFRAID!!!! They are dedicated to working against, not with you.""",1
"I had one of the worst experiences of my vegetarian life here. I had been to Johnny Rocket's before and gotten the vegan option so I knew I would be ok going here. I was out with my meat eating sister and my pescatarian husband so I figured this place would be the best for all three of us to get what we want. 

We get in and I ordered a burger that wasn't the Streamliner (1st mistake), and just ordered it with the BOCA burger. The waitress takes our order, my husband also ordered his with a BOCA. 

About 20 minutes later the food comes out. The patty looks right. I was a little apprehensive and I should have gone with my gut feeling on not eating here this day, but I ignored it. It had been awhile since I had eaten a BOCA patty (over a year), so I THOUGHT it looked right. (2nd mistake)

I start eating it and about half way through it the bill hits our table. It was crowded in there so the waitress must have been trying to get us out of there. So I look at the bill and notice both my husband and my burgers say Turkey substitution. I immediately start to freak out. We call the waitress over and explain to her that we ordered BOCA, why does it say Turkey? She then tells us that it is BOCA it just says turkey. I say, no that doesn't sound right. So she goes to talk to her manager I guess because we never saw her again. The manager comes over to our table and apologizes profusely for what happened. I'm upset because how the hell do you confuse BOCA and Turkey? I mean, really. I know some people might think how did I not know the difference. And I thought that to myself as well, but the truth is it slipped by me even though it shouldn't have. And it hurts me every time I think about it. I will never come to this Johnny Rockets again, if any of them ever again because of this experience. 

All I can say is, if you are vegan or vegetarian, and you go to any of the Johnny Rockets, make sure that your waitress/waiter knows that a BOCA burger isn't meat. Stress that to them. Because obviously they aren't trained to know what the difference is.",1
"I think everyone has said most everything that needs to be said about this place. But I'll highlight the reasons I frequent Switch...

free wi-fi
good drinks
$5 recession plate special - that is always as awesome as the rest of their menu
good happy hour specials
open til 11pm 7 days a week
good wine 
great/friendly wait staff

their salads are out of control - amazing.

i think i could happily support/invest in switch/fez/ticoz dynasty for all of eternity...if i had the means.",5
"I went here for dinner last night with a group and we had excellent service. The specialty drinks were yummy and were a deal! My favorite (out of two I had tried) was the ketel-one pineapple martini! My sister had a house salad, the dressing tasted homemade, and the croutons were nice and crunchy! I had the Positano Steak Sandwich which was great, my only complaint it was a little too salty, and the fries (and I love fries) were tasty! Other people had the lasagna and they loved it. My sister had the baby back ribs and loved them. If you're looking for a pub-like restaurant that has good prices, pretty tasty food (with a good variety of items on the menu), and excellent cocktails, Keegan's is your place!",4
Waste of time. I could not even get in there today because there was a football game. The wanted me to pay $10 just to park. How stupid is that! 2 days before Christmas. I noticed all the prices were the same and somtimes more than any other mall. Goobye and good riddens. I have better things to do with my time and money.,1
"This place has really bad service and the food is barely decent, I would advise not to dine here. There are much better Vietnamese restaurants in Phoenix.",1
"Very friendly, warm atmosphere.  We went for breakfast after hiking Camelback.  We figured we'd earned some fried chicken after making it to the top in 85 degree weather.  The food was really good.  Everything looked great! We got one of the breakfast specials - biscuits with gravy, 2 eggs and potatoes and I got 2 pieces of chicken with one waffle.  For once we didn't need any take home containers!  We ate every single bite which is very unusual for us.  I have to go back to get some more chicken and waffles but need to be sure I try the mac and cheese which I saw so many people enjoying and I need to try an order of their grits.",4
"Absolutely disgusting.  I had enchiladas and a taco, just to give them a chance.  This was the worst mexican food I've ever had.  Waaaaaay too much government tasting cheese on the food, and hardly any meat.  I do have really high standards because I grew up on Tex-Mex but this was just pathetic......",1
"Other than the really great happy hour prices, its hit or miss with this place. More often a miss. :(

The food is less than average, the drinks NOT strong ( at least they are inexpensive) , but the service is truly hit or miss.

I'll pass.",1
"Strolled in with a posse of 14 people for a birthday party. The staff was accommodating in getting everyone seated and served with drinks, especially as people funneled on in throughout the night.  The place isn't huge, it can really only accommodate one large party at a time.

First off, if you are a vegetarian or Muslim, be aware that you are going to an authentic italian restaurant - meaning that 75% of their menu items will have sausage/ham/salami/etc. Being cognizant of that, it was a smart idea to peak at the menu before arriving. We got the Vegetariana Pizza ($14), which came with Mozzarella, Provolone, Caramelized Onions, Roasted Peppers, and Parmigiano Reggiano. I thought it tasted great, it was crispy, thin-crust and had plenty of cheesy to it. I thought it was an above average pizza, but nothing that would have impressed Emeril.

In addition to the pizza, we split the Spiedini al Forno ($16), which was Marinated Beef Tenderloin in a Shish Kabob style with Onions, Bell Peppers & Tomato. The waitress advised us in ordering the beef ""medium"" and no higher because it may get too dry or overcooked. I don't usually do medium, but she advised us correctly. It came out with only a little bit of redness and packed a good flavor. The onions, bell peppers and tomato are Kim Kardashian, meaning that they are all show and no substance. I didn't think they added anything to the entree and in fact, I didn't even eat them - which is rare for me to pass up on food. It wasn't like I was full, they just tasted bland.

For dessert, they brought the birthday boy a Dolce Della Casa ($12), which is a slightly charred sweet calzone filled with chocolate hazelnut sauce and topped with bananas and vanilla ice cream. Everyone shared and It hit the spot. However, once the ice cream runs out, you're outta luck. The dessert is really complemented with the sweetness and coldness of the vanilla ice cream. 

The environment was kinda noisy (probably because we were a group of 14), and the wait staff was kinda slow (once again, because there were 14 of us), but they had a TV playing the knicks game so I was happy being able to watch LINSANITY, and the woodfire oven was blazing away for some good ambience. Overall, this place would be much better for a date or small group gatherings, otherwise you may be waiting for your food too long or feel a little crowded. Oh and just beware, the bill can become a little pricey if you aren't splitting entrees....",4
"being new to the area, i'm really on a quest to nail down my basic food groups: thai, persian, and mexican. mexican i've got down i think, but the other two i've kind of been baffled by. luckily i have my very own personal tour guide who invited me to lunch at yupha's one day. 

the place is pretty cute but can get pretty crowded when in the full swing of lunch. the tables are kind of close together, so be sure you arent carrying a big purse or anything otherwise you'll be whacking people in the head with it.

i had the pad thai for lunch. HUGE lunch portions. i could barely finish a third of it and i had a ton to take home for dinner. also if you arent into spicy, i'd definitely go mild. medium spicy is pretty groovin, but i dont think it would work out well for someone who only wants a little spice. yupha's also has an interesting salad bar/soup thing that comes with some of the lunches. check out the salad with the peanut dressing. mmmmmm peanut dressing. i loves it. 

service is fast and friendly. take your check up to the front if you want to get out of here quickly. i think yupha's is going to be my work lunch thai place :). garlic beef here i come!",4
"The sandwiches are truly AWESOME.  The Bobby is fab.  I went to the Chandler Rd location for years and now go to the Tempe location.

But, I give 3 stars because I've yet to have ""good"" service.  Something always seems to happen.  I call in my order, it gets lost.  I call in my order, I'm told they are too busy to take phone orders.  I go down and order in person, my order gets lost again.  I'm convinced I'm cursed.  I'll keep going back because that Bobby is the BOMB but service is what it is.",3
"This place is very popular and I can see why...the food was incredible!  Cool, neighborhood place with good service.",4
